Name,Email,Password,Schools,Classes
"Ms. Isabella","isabella.teacher@enormous1.com","isabellateacher123",1,4
"Mr. Babur","babur.teacher@enormous1.com","baburteacher123",2,12
"Ms Rose","ms.teacher@enormous1.com","msteacher123",3,10
"Ms Glarace","ms.teacher2@enormous1.com","msteacher123",1,26
"Ms Hila","ms.teacher3@enormous1.com","msteacher123",4,19
"Mr. Zed","zed.teacher@enormous1.com","zedteacher123",2,11
"Ms Jeni","ms.teacher4@enormous1.com","msteacher123",1,15
"Mr Mo","mr.teacher@enormous1.com","mrteacher123",3,20
"Ms Smitha","ms.teacher5@enormous1.com","msteacher123",2,21
"Ms Maria","ms.teacher6@enormous1.com","msteacher123",1,16
"Mr Chris","mr.teacher2@enormous1.com","mrteacher123",1,19
"Ms Fercy","ms.teacher7@enormous1.com","msteacher123",3,16
"Ms Julie","ms.teacher8@enormous1.com","msteacher123",1,18
"Ms Divine","ms.teacher9@enormous1.com","msteacher123",1,15
"Mr Asib","mr.teacher3@enormous1.com","mrteacher123",3,18
"Mr Ron","mr.teacher4@enormous1.com","mrteacher123",3,29
"Mr Gavin","mr.teacher5@enormous1.com","mrteacher123",3,25
"Mr Jim","mr.teacher6@enormous1.com","mrteacher123",1,12
"Mr Ren","mr.teacher7@enormous1.com","mrteacher123",3,0
"Mr Mat","mr.teacher8@enormous1.com","mrteacher123",3,19
"Ms Suma","ms.teacher10@enormous1.com","msteacher123",1,19
"Ms Lyn","ms.teacher11@enormous1.com","msteacher123",4,25
"Mr Aloysha","mr.teacher9@enormous1.com","mrteacher123",2,7
